"","logFC","logCPM","PValue","FDR"
"945",0.757281550981644,8.14228522987301,3.48282330003618e-14,9.56034995859931e-11
"14365",0.812604086684995,7.49614222786186,6.43615700964437e-09,6.27774158225315e-06
"36026",-0.510045112905164,10.3694382975705,6.8609197620253e-09,6.27774158225315e-06
"46883",0.488766099842532,9.20126408073411,2.27106214553403e-08,1.55851639737273e-05
"18761",-0.869839745896573,7.99485890783793,6.07269961794033e-08,3.33391209024924e-05
"46373",0.706948584009932,10.5832968084545,2.45364750841034e-07,0.000112254373509773
"40734",0.493952397183237,7.73961427667841,3.60123146145687e-07,0.000141219719452844
"14753",-0.604978535278383,7.07279426226985,6.1701195980607e-07,0.000211712228708458
"15687",-0.49825547031561,7.77947962751015,8.27227777875615e-07,0.000252304472252063
"23653",-0.543926802715211,9.69850772707833,3.4344307720218e-06,0.000893399488593951
"23997",-0.441772196043486,7.38274181517097,3.5801072402672e-06,0.000893399488593951
"35473",-0.342595620358974,8.28741459611848,6.7676190607435e-06,0.00154809286014508
"9453",-0.545526921997177,7.28732788107354,2.02494233014624e-05,0.00427574361250109
"30838",-0.545618953776434,8.05737573259922,2.74322261467894e-05,0.0053786757694955
"29739",-0.426335380390096,7.16451796259208,2.98109685531959e-05,0.00545540724523485
"37717",0.379697556342107,8.94651456147677,4.95301042615141e-05,0.00849750851236601
"8577",-0.462651142876275,6.96037122966475,0.000142602208667034,0.0230260625171181
"39365",0.341227609834671,9.04232103645037,0.000160958468091324,0.0245461663839269
"31950",0.446335222638606,7.02446365536994,0.000178150883873298,0.025738114538537
"6783",-0.386660917715582,7.41549644937915,0.000238657484140294,0.0327557396982554
"34624",0.379424174319283,8.24031531994752,0.000262767021446137,0.0329799566351331
"52786",0.294363478211187,8.98044569047335,0.000264320235327114,0.0329799566351331
"37182",0.404399565543362,9.04105492543042,0.000462522207884718,0.0552010200279805
"3081",0.318424328806447,7.1396509805628,0.000515604782067962,0.0589722969490231
"19993",0.32813942712809,7.33778192476962,0.000553680635925791,0.0607941338246519
"21362",0.344159382154473,9.03676257864792,0.000619418330537005,0.0653962814355415
"18919",0.333690168241808,7.40663639959983,0.00066465234365115,0.0675729882712003
"2865",0.379871087394152,7.21189642546956,0.000701416612477448,0.0687638786160927
"28148",-0.431102894632018,8.42929030314332,0.00075708237326342,0.0716617625726927
"33010",-0.424063843114784,7.35255424746449,0.0009322178146765,0.0832766184423766
"53715",0.323596408477664,7.81154498867861,0.00094046454342939,0.0832766184423766
"5658",-0.327375611776025,9.35148908540888,0.00116812761614901,0.100203447072783
"46939",0.287353843677455,8.37812096806374,0.0012661071250157,0.101035410727136
"28250",-0.374086660792219,7.86761319347302,0.00132359372513817,0.101035410727136
"31989",-0.425535686162848,7.69727666282665,0.00133404525995374,0.101035410727136
"47883",-0.279600890659707,8.30994549380878,0.00134716346828196,0.101035410727136
"1752",-0.40960065458346,9.72740599912502,0.00136186163821641,0.101035410727136
"38467",0.371535444546503,8.08343773196871,0.00144648152534741,0.104489257554701
"33703",-0.410576041470459,10.9016767720284,0.00158234032273063,0.111372415022964
"57218",-0.29282789546813,7.65749946496628,0.00177439576725404,0.121767909527808
"24909",-0.365714176558913,10.05554710561,0.00185930354311137,0.124482639654651
"12428",-0.270330691957234,7.70363485297294,0.00226566982393711,0.148077706350175
"53161",0.23531680125279,7.994878371218,0.00244601250954175,0.155240555990522
"33230",0.292916116688641,7.36686439807203,0.00249610287205647,0.155240555990522
"6588",0.304054572876591,9.440892574091,0.0025603736705368,0.155240555990522
"56345",0.273118333773543,8.31649919373325,0.00260148108399417,0.155240555990522
"31022",0.267556510231074,7.53588068194528,0.00276467246142159,0.159279958328142
"44540",0.284688520494903,7.79165798601112,0.00287135401365803,0.159279958328142
"33495",-0.253513235175935,7.63931466739461,0.00288100152829367,0.159279958328142
"35287",-0.370957816759227,8.81221579399379,0.00295221872719867,0.159279958328142
"34737",-0.371354387867684,8.36546599871027,0.00295929977221685,0.159279958328142
"29600",0.318903667340263,9.52221704882823,0.00326502279950521,0.172355530473881
"35333",-0.218733059590459,8.45587826798641,0.00347544266201885,0.180001700136636
"22477",0.333067649055223,9.93218056717618,0.00359589625617053,0.182791393022002
"18055",-0.425061802456768,7.21119519080204,0.00367409677210293,0.183370829807682
"18268",-0.314530263139246,8.55087094293179,0.00396684292925222,0.194446140014238
"38732",-0.307381135706831,10.0759275062305,0.00507850570382503,0.244239296952147
"54543",-0.282702807093388,11.4416307497801,0.00516061173887962,0.244239296952147
"33653",-0.388668338822024,7.73745856981581,0.00556179615827845,0.258764922957192
"30953",-0.223464395613662,8.31813653738038,0.00578673336272918,0.26474305134486
"13735",-0.222340541492378,7.78818905622939,0.00615408231284985,0.272840351047517
"34582",-0.251977341646684,7.56689469784972,0.00619737661122975,0.272840351047517
"14036",-0.337014145552188,9.41100180909196,0.00633621825866927,0.272840351047517
"16328",-0.306859659487207,8.60056916084478,0.00636130508817526,0.272840351047517
"17327",0.292578993799023,7.30990376687291,0.00669797127592838,0.282860479268052
"21603",-0.205225035216585,8.08147149614117,0.00741972729008231,0.307883177319144
"1074",0.240786813919329,9.52654581739955,0.00751481707846363,0.307883177319144
"15527",0.231493488396249,8.83722538210295,0.00773832672509977,0.312378042064689
"50757",-0.22886399954883,8.72190382840053,0.00794361819075663,0.316017854110536
"8160",-0.226150383977754,7.73338952777251,0.00824903081977438,0.320037911379817
"11511",-0.211437794885126,8.29766101148192,0.00827784761674571,0.320037911379817
"48584",0.225533396358775,7.52590605261364,0.00840792620690581,0.320552186638284
"16831",0.205424016208127,8.67292190803853,0.00870571550421487,0.327358754233833
"42072",0.288152937363084,7.74107595332627,0.00902430053058667,0.334752769681898
"297",-0.291255962497739,11.5570884277079,0.00952179616845775,0.3462085426208
"44956",0.211227376164784,7.66171305727371,0.00958537312902763,0.3462085426208
"49488",-0.476924003631991,8.16065449095541,0.0100264657421886,0.357436993016983
"1361",0.230918976716688,7.19349833951822,0.0104008757502321,0.366030819671629
"44274",-0.204774279771968,7.93751811203564,0.0108156876593219,0.368557092390541
"9746",-0.231256338273318,11.3865986274808,0.0108676978499953,0.368557092390541
"48015",-0.231926132884772,9.17561476483511,0.0108754551852946,0.368557092390541
"45948",0.216799211461444,7.47146272706495,0.0110338576768629,0.369365113694983
"37181",0.25843096336801,9.2029411230389,0.0111959694114181,0.370276337763166
"32454",-0.256677885675898,7.19652880330346,0.0119189193295187,0.389493256661058
"4986",-0.252817044738993,8.01705198066289,0.0121981740563837,0.393929268056157
"35897",-0.294352728330798,7.27423979161551,0.0124765691540918,0.393946216572051
"20537",0.222995835871319,7.91033710744245,0.0125112943319091,0.393946216572051
"38769",-0.202751932871043,11.5373211857344,0.012927483064342,0.393946216572051
"20689",0.185547995066995,8.29922546531157,0.0131026784951812,0.393946216572051
"7088",-0.217746041745382,7.19739649045075,0.0131233808895435,0.393946216572051
"3676",-0.205735574645822,8.07946013310033,0.0133182932057082,0.393946216572051
"18983",-0.201214190679612,8.06470664980839,0.0133362761463099,0.393946216572051
"52871",0.220191255956696,9.32745371422674,0.0133468117089984,0.393946216572051
"13072",-0.29690856942924,10.1033500828569,0.013602777548117,0.397230046484906
"8187",-0.339144144482218,7.29551888695629,0.0146307314891236,0.422751136185729
"30471",0.188055172217527,8.84975919910099,0.0148165934677964,0.423661969469804
"37215",-0.179827249579206,8.21167286112165,0.0153115650479799,0.429553901888149
"56574",-0.237834523780392,7.29778487770398,0.0153356219981926,0.429553901888149
"975",-0.216553823873464,8.56156230112871,0.0154986713350553,0.429735887017441
"30115",-0.21526061081609,8.9035768490296,0.0158005221369046,0.43131326398097
"4464",-0.251601942393311,7.8272650377881,0.0158698140845457,0.43131326398097
"4511",-0.234527235673879,7.38963780014624,0.0162685638786699,0.431869619774816
"5621",0.22801990496836,7.46367999199964,0.016340395764364,0.431869619774816
"44664",-0.226762745633083,7.36254867261981,0.0163622733903755,0.431869619774816
"36436",-0.217832532949187,11.4619220966588,0.0172763802853893,0.451653941746606
"5420",-0.205981315246112,10.3043873356019,0.0179203046908548,0.456429639917676
"21064",-0.234804106946689,7.45390135469369,0.018028016061588,0.456429639917676
"46499",0.202059583429677,9.15913868429105,0.0180912611933153,0.456429639917676
"16136",-0.227745633397675,7.63241147089608,0.0183524249314818,0.456429639917676
"38902",0.202008615003044,7.50619566654296,0.0183826925287286,0.456429639917676
"24755",0.189009053764177,7.5436275115674,0.0184567176797312,0.456429639917676
"44108",-0.246274937919823,7.19770612579578,0.0188148238847564,0.461131174675502
"7279",0.24582003090063,7.19261798241643,0.0190983655040866,0.463938170873607
"17336",0.194474412756231,7.49757286003261,0.0198050354789575,0.476884406927528
"868",0.184280663473443,7.84163782719794,0.0205891219718644,0.491453389676241
"43915",0.196214052084953,7.35272035033652,0.0210949774379537,0.499187181613646
"24019",0.204241488692449,7.54090943562571,0.021345400761115,0.500795940933851
