num,logFC,logCPM,PValue
41,0.309542281,7.741927788,0.096842123
67,-0.091823821,8.060647985,0.41198112
72,-0.061117774,8.203091492,0.689233715
76,-0.192922826,8.001230421,0.085609669
91,-0.100273308,7.155028437,0.391098284
100,-0.041315852,7.585196199,0.723903501
104,-0.169393212,7.52915825,0.221380476
108,-0.012768967,8.779812895,0.873752039
120,-0.030981788,7.086504446,0.84015103
122,0.010902295,7.353535077,0.894296609
132,0.067606586,7.364899166,0.472844625
140,0.089409249,7.416055735,0.265607206
141,-0.017054665,9.317259025,0.822251907
157,-0.040483764,7.598719978,0.700393706
230,-0.099306613,9.154443087,0.414830914
233,0.050830969,8.110752424,0.512220433
267,0.01868759,7.450700956,0.850611942
274,-0.200673443,7.773691988,0.148875223
297,-0.11676243,11.55708843,0.298245569
325,-0.085257882,8.005604609,0.355265551
337,0.039420554,7.391729082,0.635693567
341,0.082302182,8.193167562,0.304227666
346,0.02738159,8.079428868,0.732352571
351,0.012464999,8.606873587,0.873919149
362,0.005037718,8.835498102,0.948235299
365,0.064929729,7.994088751,0.473648872
366,0.107688472,7.744801823,0.174607303
369,0.054604056,8.182484745,0.47064154
399,-0.078483,7.842406923,0.334672473
411,-0.113613186,7.23148263,0.225305871
502,0.051616602,7.37016632,0.534244375
516,0.021749526,10.14425048,0.823440129
540,-0.190679154,7.232629445,0.185125839
589,-0.017122583,8.821789062,0.839154349
610,0.052906288,9.310110199,0.491066733
613,0.102847384,7.576446921,0.19663709
622,0.090637524,7.482083623,0.272917268
659,-0.020904759,8.585793046,0.799505744
664,0.031741988,8.805383179,0.675739913
666,-0.032274464,8.408489747,0.65165872
688,-0.027782808,7.926813343,0.745046204
703,-0.040593651,8.328770946,0.598806856
724,0.072203086,8.389988455,0.336783307
735,-0.057853973,8.931713742,0.474690111
748,-0.230211852,9.713487821,0.215673529
786,0.059979464,8.851480798,0.488381652
788,0.061037212,8.746739317,0.596480956
815,-0.014324604,7.913938723,0.868592613
825,0.039392673,8.956353498,0.622129552
858,-0.0325443,9.852138935,0.694809374
868,0.101013747,7.841637827,0.205158352
877,-0.189627335,7.307898154,0.219723722
891,-0.04112188,7.217669642,0.663973389
903,0.039660592,8.107722402,0.646761379
918,0.045126951,7.145948291,0.641317695
926,0.016378759,7.891845552,0.848608536
930,0.086026957,7.174055899,0.350279381
939,-0.04357415,8.217458959,0.64780603
942,-0.235368631,7.178227078,0.216926913
945,0.149087667,8.14228523,0.13586483
947,0.008257395,7.588786952,0.924111185
951,-0.020724665,8.116172417,0.816435438
952,0.110715891,7.61946532,0.193545813
965,0.050151125,7.957281613,0.511455136
970,0.0372675,8.41839274,0.628628315
975,-0.054145694,8.561562301,0.544753375
979,0.015333584,8.047152925,0.883035506
1002,0.09082393,8.720027435,0.243937629
1025,-0.023282111,7.749724249,0.776616375
1035,0.107555195,8.879379673,0.199873232
1038,0.037950864,9.361343902,0.638398808
1042,0.032409441,8.122887017,0.670217376
1044,-0.029651817,8.116920172,0.723583525
1050,-0.017686362,9.081978139,0.819643786
1055,-0.095001327,8.870524133,0.216605643
1056,-0.24227411,8.739152165,0.01279162
1060,-0.082178228,7.741463203,0.414560628
1070,0.016717813,9.266081304,0.834599082
1074,0.075108583,9.526545817,0.404671278
1075,0.018245629,7.397251993,0.83813274
1085,-0.046620482,8.970678382,0.557373733
1127,-0.05945674,9.672200288,0.469509568
1130,0.099236933,7.845428042,0.304636452
1136,0.070884665,7.441960492,0.383825431
1141,0.070910982,7.912967862,0.379356887
1144,0.053632724,7.231177654,0.560069493
1147,0.066238681,7.192965804,0.46153113
1157,-0.240381257,7.219375954,0.093914975
1159,0.002851166,8.517593835,0.976918899
1187,-0.042106402,7.355703792,0.60458656
1207,0.026312431,7.794280743,0.763422413
1227,-0.001984022,7.526303221,0.98438785
1228,-0.212841208,7.23004057,0.076876557
1229,0.020837909,8.205480746,0.781844339
1240,-0.007508235,8.374010102,0.926472042
1261,-0.031515164,7.784408617,0.704072148
1262,-0.018316679,7.699417366,0.813659444
1296,-0.031352268,8.163495946,0.712549264
1314,0.056347938,7.233783004,0.581878244
1327,-0.155402475,10.63782585,0.334823943
1352,-0.214128863,7.204398245,0.026055601
1360,-0.102541762,9.151534996,0.241516507
1361,0.07893825,7.19349834,0.383341186
1399,-0.046615137,7.413552983,0.597093048
1401,-0.058865272,11.02809035,0.617643915
1434,-0.134225389,8.877985471,0.090017051
1437,-0.046975787,9.312281168,0.61177061
1439,0.058988089,7.401226296,0.458269688
1456,-0.003088696,7.264741221,0.973376974
1457,-0.026531545,7.277460292,0.777521531
1458,-0.301166917,8.026719375,0.109279852
1470,-0.046405209,7.964951153,0.565260939
1544,0.06309652,7.465668508,0.466161891
1565,0.152409188,7.17975747,0.114623399
1572,0.097885602,7.441275459,0.256738193
1576,0.018029823,8.239940524,0.816956135
1591,0.15880842,7.451297915,0.093892414
1604,-0.008741408,7.363707511,0.919350965
1605,0.105401728,7.723034186,0.211156873
1614,0.044420876,7.148164551,0.675780211
1623,0.034523328,7.181888681,0.722990076
1654,0.040911813,8.218596131,0.702351042
1666,-0.065782941,7.168043419,0.512126827
1677,-0.016142889,8.668172055,0.835879032
1697,0.055688568,8.280268175,0.513884561
1704,-0.022880317,8.591932356,0.776868558
1727,0.028670317,7.786547231,0.782122653
1749,-0.02723584,8.42350562,0.724427257
1752,-0.19523262,9.727405999,0.126309523
1768,0.018384712,7.884302892,0.832263578
1798,0.060213934,8.850982963,0.507173751
1799,0.115590498,7.822263084,0.192653776
1822,-0.023045898,7.478570888,0.811758874
1827,-0.047133527,7.743888504,0.566555425
1839,0.009213167,7.373657197,0.91107537
1840,0.021902966,7.757437338,0.809682669
1852,-0.031264766,7.538061378,0.757483928
1875,-0.012779971,7.181750403,0.912369108
1885,-0.035727196,10.99710057,0.682236436
1893,-0.00264029,7.51270481,0.979582361
1900,-0.063090063,7.947737282,0.424621587
1908,-0.081713809,7.984906631,0.397880943
1920,-0.014812639,7.472862055,0.899824099
1922,0.026574837,10.22379785,0.751143181
1937,-0.092383493,9.48178814,0.270808162
1982,-0.110453242,7.611761328,0.227259207
1984,-0.188235775,8.13115463,0.023633713
2003,-0.072085747,7.656777578,0.451464948
2010,0.007419428,7.748868215,0.935295507
2013,0.033746455,8.135024282,0.707347192
2022,-0.017964604,9.153462715,0.816334146
2059,0.026312606,7.38878484,0.789132849
2093,-0.054699033,7.291056204,0.568276287
2127,0.064927211,7.678273111,0.45049072
2129,-0.0680198,8.116603508,0.526700338
2130,0.038375604,7.238181345,0.69525084
2147,0.110402549,8.039380879,0.259334629
2181,-0.065468572,7.484837864,0.455756807
2190,-0.005075146,7.230230592,0.9676717
2195,-0.056925518,8.247226923,0.447763886
2226,-0.012752938,11.46817486,0.87571177
2239,-0.04582921,7.759762287,0.57494862
2240,-0.108786662,7.888510467,0.301785454
2246,-0.022161313,8.052770633,0.775154389
2277,0.007567183,7.427288111,0.934491819
2287,0.02629048,7.696164151,0.738570124
2314,-0.275618856,7.112414006,0.032871962
2347,-0.015293543,7.373949175,0.888022111
2359,0.107022139,7.222231972,0.272578333
2458,-0.020631445,8.144693228,0.781566916
2480,0.041205545,9.0460174,0.645667688
2481,-0.057562157,7.285537243,0.605354057
2484,-0.016795701,7.431407494,0.832992408
2485,-0.132889849,7.35614463,0.120425983
2492,-0.067249775,7.683909391,0.467472673
2513,0.044821965,8.469798371,0.546359297
2526,0.006488771,7.131710994,0.957717424
2571,-0.052084067,8.537327068,0.520278746
2594,-0.041417629,8.438425472,0.702915535
2598,-0.026313933,7.193647021,0.820807812
2609,-0.073732436,9.044423797,0.384004934
2631,0.075588245,7.485125204,0.439932586
2637,0.071212355,8.008832149,0.466392925
2646,0.023954117,8.150989129,0.820524872
2647,0.0526828,10.76672617,0.517448251
2649,0.059860641,7.966668213,0.544414745
2675,0.009079232,9.985595168,0.911326677
2696,0.067384566,7.279056659,0.425533941
2700,0.067053946,8.310262927,0.38428065
2707,-0.015812916,7.343206133,0.861949437
2716,-0.022766016,7.659146189,0.767065882
2751,-0.015740798,9.948484471,0.867728467
2759,-0.032067331,8.488534849,0.676018298
2846,-0.049410234,7.42054076,0.539733756
2865,-0.116719187,7.211896425,0.300867728
2870,-0.13740696,7.847271213,0.108354371
2904,-0.024614833,7.562870925,0.766602257
2912,0.021349359,7.805666497,0.784661019
3071,-0.110936643,8.748860495,0.16703835
3076,-0.048140572,7.820639645,0.638464534
3081,0.196622054,7.139650981,0.03234432
3082,-0.12338036,7.32908455,0.220239404
3092,-0.133484266,8.329183918,0.076337982
3094,-0.164539755,8.2863181,0.123918017
3102,0.134998893,7.190887995,0.134165751
3108,0.054939793,7.505071473,0.491322039
3128,0.021079193,8.12992231,0.780153312
3129,-0.124755224,7.948213123,0.236405765
3132,-0.036514498,7.401930404,0.708066476
3135,-0.061400122,7.439666474,0.487273271
3139,-0.046007653,8.345891402,0.579812592
3140,0.067973448,8.053248371,0.366667919
3263,0.025480754,7.992587822,0.755871986
3265,-0.022518912,9.072512208,0.790314428
3270,0.016953034,7.947810009,0.842660694
3277,0.056391337,7.195146983,0.546994034
3280,-0.136837773,7.78038994,0.171466615
3282,-0.092503937,7.267271737,0.384902432
3285,-0.027443015,7.834275835,0.736166699
3288,-0.11353408,9.239457856,0.459071226
3295,-0.012984247,8.889677545,0.863892679
3299,0.017816696,8.768031968,0.816146954
3300,-0.031703836,8.801676749,0.706808053
3303,-0.073288178,7.616774318,0.531690597
3308,-0.029506954,7.828409024,0.700334455
3322,0.030465016,9.349388796,0.690092421
3331,-0.056532049,7.616692139,0.518520857
3339,-0.129111109,7.372344992,0.285572407
3362,-0.021557727,8.016892576,0.809426507
3364,-0.067303109,7.933475958,0.50247126
3370,0.101943207,7.729050322,0.221482445
3386,0.025642095,7.833626691,0.748829493
3388,-0.02798577,7.217819314,0.762299747
3393,0.043629663,8.406608761,0.605478546
3400,-0.017572554,8.060379047,0.822239669
3401,-0.055444719,7.568975578,0.560900106
3414,0.014480976,8.297276242,0.867385062
3418,0.007158989,10.06051046,0.933625039
3429,-0.071825766,8.112356769,0.384974936
3433,-0.064506711,7.206778946,0.502344634
3448,-0.09313171,8.89520689,0.426745331
3449,-0.092713451,7.36873353,0.378558226
3558,-0.158623699,8.584999626,0.108554509
3575,0.062310574,7.695659231,0.441694082
3580,0.152732333,9.235560007,0.04983862
3583,0.091973914,7.518359897,0.28471485
3627,-0.066909097,7.738570592,0.446341828
3636,-0.052474401,7.302534139,0.569146782
3662,-0.039673087,7.192955382,0.701386786
3676,-0.082578331,8.079460133,0.320282273
3679,0.045072161,7.205344174,0.602279635
3693,-0.001831264,7.360672813,0.987634351
3703,0.057860861,7.413812968,0.496233776
3723,-0.014525716,7.719131891,0.851291294
3732,-0.012005171,7.711291869,0.914872876
3753,0.065747928,7.665208127,0.420263359
3767,-0.068362548,7.636387575,0.449978436
3773,-0.038102303,7.287798416,0.686935596
3777,-0.023849775,7.340435495,0.784544145
3786,-0.101074572,7.162265985,0.331437526
3789,0.098825052,7.677034939,0.260805159
3867,0.075293447,9.87359692,0.36954605
3906,0.052038026,8.85689012,0.511527716
3917,0.045546353,8.158826703,0.552929514
3919,-0.013176614,8.905904203,0.871516776
3921,0.095078246,7.257800669,0.379357956
3942,-0.071021925,8.289956605,0.378218461
3995,0.038400824,7.737781852,0.6583424
3998,0.009238748,7.764216257,0.90886718
4024,0.01604611,7.200765248,0.871671625
4031,-0.013151094,7.719418374,0.879346714
4074,-0.091561037,9.164010554,0.247064825
4089,0.056934279,9.256627629,0.479356597
4097,0.047983137,8.945914315,0.530991179
4103,0.063626691,7.642115345,0.44520414
4107,-0.099475834,7.720552395,0.236208016
4123,0.020498007,7.413922222,0.821316343
4139,0.108869703,8.329905692,0.140034595
4151,0.104340487,9.880503385,0.222192905
4218,-0.052409526,8.064232196,0.567932763
4220,0.022904553,7.55955505,0.815891488
4247,0.015255483,8.609606244,0.855452953
4297,0.01849586,7.40146377,0.844937191
4311,0.017539856,7.752336395,0.844342488
4333,0.073840886,9.152444166,0.357689607
4340,0.091026235,7.920958603,0.248823647
4355,0.044955637,7.162139237,0.711722919
4365,0.068908743,7.512289887,0.419484575
4378,-0.068615846,7.820132785,0.370144171
4382,0.019792726,7.817264368,0.821928744
4405,0.110717758,8.932178356,0.153921513
4409,-0.215818209,7.576651048,0.023224184
4428,0.029118656,8.092448566,0.701827753
4430,0.19404029,8.125344853,0.025082836
4464,-0.010872501,7.827265038,0.918198969
4467,0.048704355,10.68394009,0.557668073
4493,-0.047187591,7.347383094,0.616707849
4511,-0.095438486,7.3896378,0.327886155
4528,0.039065243,8.863570959,0.645169254
4592,0.024875355,7.823284683,0.801297896
4599,0.125168938,8.178048838,0.138258509
4616,0.115667024,7.52271946,0.177543998
4644,0.101260525,7.303344941,0.300770462
4647,0.012365842,9.096821841,0.881372994
4654,0.00014118,7.634785093,1
4692,0.053240715,9.956316142,0.564812665
4695,0.048347256,9.212010559,0.58492503
4700,0.014195318,7.631541332,0.869255427
4746,0.002990823,7.780858414,0.971956567
4767,-0.031609996,8.299652298,0.685673653
4768,-0.008394891,7.474782093,0.920497255
4783,-0.077598236,7.894969463,0.358355574
4787,0.086509008,7.116668721,0.378704417
4792,0.028415085,7.332387555,0.778132972
4793,-0.033152054,8.818991014,0.664936129
4803,-0.029762413,8.939442246,0.724816947
4806,-0.01346249,9.334790118,0.862355429
4810,-0.117723779,9.787808865,0.1998595
4817,-0.059812044,7.294518518,0.604691979
4821,0.082750255,7.776063251,0.317937898
4823,-0.011451111,9.296445161,0.891642345
4826,-0.080532071,8.108950292,0.334391422
4834,-0.027377645,11.03358976,0.744746264
4845,0.00509055,7.893812026,0.958807603
4847,0.069207691,8.199575913,0.426771037
4861,0.060700428,7.210085762,0.561048975
4873,-0.038650932,10.31027289,0.674017958
4879,-0.180395763,7.968044298,0.074045552
4899,-0.063950202,8.541706577,0.538802533
4941,0.12252141,8.892045705,0.122006503
4943,-0.017522604,7.489309007,0.838944198
4954,-0.088063167,7.917658384,0.3507201
4982,0.154338186,8.066660664,0.069786396
4986,-0.06335952,8.017051981,0.529993478
4990,-0.003515828,7.27735402,0.973450537
5010,0.061330191,7.871984329,0.464628582
5028,0.027831505,8.673381344,0.729965925
5032,0.101726004,7.890567489,0.257340015
5048,0.079676428,10.52711072,0.381599705
5051,-0.114864433,7.438042252,0.18847978
5056,0.004606513,7.383187311,0.95779741
5081,0.024124956,8.935618556,0.761807393
5095,0.09252252,8.756053658,0.34633098
5097,0.043904968,9.100699001,0.571684907
5155,-0.008101947,7.223322462,0.93931145
5158,-0.078728198,7.813805306,0.406158752
5161,0.021751161,8.17998125,0.759328922
5186,0.001822197,8.502744766,0.983002927
5193,0.020635355,7.837508991,0.821123577
5207,-0.030435541,7.42567513,0.702779108
5211,-0.013178403,8.045545421,0.886285911
5214,0.012412569,7.457954898,0.894294621
5215,-0.036143233,10.53216854,0.682631496
5256,0.107220599,7.615565709,0.224367245
5367,-0.004379676,7.76419451,0.955919712
