Mock_1,Mock_2,Mock_3,dCC_MeCP2_1,dCC_MeCP2_2,dCC_MeCP2_3,dCC_scramble_1,dCC_scramble_2,dCC_scramble_3
27.56242012,44.01591844,48.27725421,17.74883977,42.75893824,31.09887193,19.05064784,35.75469761,38.18737188
62.84231788,50.12924044,85.69212623,39.67387714,60.76270171,55.08943028,52.38928156,45.9703255,36.12318962
83.78975717,83.14117927,127.9347237,79.34775427,104.2717968,128.8381837,95.25323919,97.04846494,91.85611075
3368.127739,2705.756319,3054.74326,3041.315897,3675.768375,3576.370272,3532.942642,3368.603296,2903.272354
0,0,0,0,0,0,0,0,0
100.3272092,74.58252846,53.10497963,106.4930386,119.274933,103.070547,92.39564202,97.89976726,83.59938169
3.307490415,2.445328802,0,0,9.752038546,2.665617594,16.19305066,11.06693021,0
0,0,0,6.26429639,1.500313623,0,1.905064784,1.702604648,0
621.808198,536.7496721,494.8418557,470.8662787,633.8825055,602.4295763,560.0890465,628.2611151,492.30747
0,0,0,0,0,0,1.905064784,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,1.222664401,0,0,0,0,0,0,0
1.102496805,1.222664401,0,0,0,0,0.952532392,0,0
0,1.222664401,2.413862711,0,0.750156811,6.219774387,1.905064784,4.25651162,0
0,0,0,0,3.000627245,1.777078396,0,8.51302324,4.128364528
1964.649306,1543.002474,1750.050465,1662.126642,1941.405828,1959.228932,1703.127917,1969.062275,1764.875836
1143.289187,844.8611011,1001.753025,858.2086054,868.6815874,931.1890796,931.5766793,1070.087021,983.5828488
60.63732427,50.12924044,67.5881559,41.76197593,75.01568113,58.64358707,67.62979983,54.48334874,38.18737188
24.25492971,9.781315208,9.655450842,10.44049398,19.50407709,15.10516637,20.95571262,20.43125578,5.16045566
896.3299024,846.0837655,849.6796741,773.6406042,1101.230199,926.7463836,902.0481752,926.2169285,848.3789105
92.60973161,63.57854885,26.55248982,51.15842052,93.0194446,80.85706703,84.77538288,62.14506965,71.21428811
538.0184408,452.3858284,493.6349243,488.6151184,624.130467,549.1172244,611.5257956,464.8110689,495.4037433
1671.385156,1275.23897,1407.28196,1187.084166,1871.641244,1475.863608,1706.938046,1561.288462,1342.750563
876.4849599,701.8093662,848.4727428,641.0463306,787.6646518,875.2111101,832.5133105,752.5512544,661.5704156
2559.997581,2195.905264,2425.932024,2036.940376,2721.568911,2523.451323,2588.983041,2558.163484,2287.113948
110.2496805,128.3797621,126.7277923,65.7751121,133.5279124,97.73931179,145.737456,140.4648835,90.82401961
424.4612699,324.0060663,388.6318964,347.6684496,420.0878143,420.2790407,438.1649003,391.599069,359.1677139
9.922471244,13.44930841,14.48317626,1.044049398,27.75580202,13.32808797,76.20259135,17.02604648,35.09109849
2697.809682,1940.368404,2126.613048,2084.966648,2914.359212,2491.463911,2363.232864,2348.743112,2088.952451
424.4612699,248.2008734,389.8388278,252.6599544,457.5956549,306.5460233,391.4908131,322.6435808,262.1511475
1545.70052,937.7835956,969.1658783,957.3932983,1727.611136,1187.976908,1063.978682,1239.496184,1138.396519
0,3.667993203,2.413862711,0,3.750784056,2.665617594,0.952532392,0,0
5589.658801,5585.130984,5611.023871,5594.016676,5878.228773,5253.932278,5565.646766,5530.911199,5586.709297
483.9960974,410.8152387,403.1150727,354.9767954,569.3690197,386.5145512,412.4465257,446.9337201,480.9544675
1034.142003,937.7835956,980.0282605,1007.507669,1083.976592,1089.349057,1025.877386,1172.2433,1136.332336
0,0,0,0,0,0,0,0,0
155.4520495,79.47318607,155.6941448,114.8454338,128.2768147,112.8444782,140.0222616,94.49455796,103.2091132
4.40998722,1.222664401,8.448519487,5.220246992,8.251724924,5.331235188,8.572791527,6.810418592,9.288820188
0,0,0,0,2.250470434,2.665617594,7.620259135,0,0
0,1.222664401,1.206931355,0,3.000627245,4.44269599,16.19305066,0.851302324,0
25.35742651,14.67197281,18.10397033,9.396444585,19.50407709,27.54471514,24.76584219,19.57995345,4.128364528
418.9487859,215.1889346,398.2873472,374.813734,450.0940868,445.1581382,323.8610133,416.2868364,300.3385194
5.512484025,8.558650807,14.48317626,5.220246992,6.00125449,1.777078396,18.09811545,5.107813944,1.032091132
1191.799046,1051.491385,1113.997641,1009.595768,1375.787592,1240.400721,1209.716138,1227.577951,1114.658423
1826.837206,1387.724095,1695.738554,1307.149847,2050.178565,1574.491459,1836.482452,1929.051066,1873.245405
9.922471244,12.22664401,10.8623822,4.176197593,12.75266579,12.43954877,0.952532392,11.06693021,10.32091132
2133.331318,2151.889346,2207.477449,2219.649021,2028.424018,2128.051379,1825.052063,1955.441438,2035.283712
0,0,0,0,0,0,0,0,0
17.63994888,18.33996602,16.89703897,13.57264218,24.75517477,27.54471514,33.33863372,8.51302324,17.54554924
0,0,0,0,0,0,0,0,0
893.022412,717.7040034,693.9855293,657.751121,755.4079089,754.3697792,894.427916,755.9564637,647.1211397
176.3994888,147.9423925,179.8327719,145.1228664,180.7877915,151.0516637,105.7310955,154.0857206,100.1128398
1076.036882,881.5410331,1000.546094,913.5432236,1150.740548,1099.122988,1092.554654,1122.016463,887.5983735
7.717477634,12.22664401,26.55248982,11.48454338,10.50219536,18.65932316,13.33545349,17.8773488,12.38509358
867.6649855,731.1533118,903.9915851,851.9443091,983.4555796,805.0165135,1001.111544,911.744789,732.7847037
5.512484025,0,14.48317626,0,7.501568113,2.665617594,0,7.661720916,0
2249.093482,2025.954913,2209.891312,2074.526155,2198.709614,1837.499062,2078.425679,2065.259438,2075.535266
59.53482747,62.35588445,49.48418557,44.89412413,48.01003592,58.64358707,73.34499418,68.10418592,34.05900736
16.53745207,11.00397961,16.89703897,13.57264218,15.00313623,16.88224476,12.3829211,20.43125578,19.60973151
0,0,3.620794066,6.26429639,0.750156811,0,1.905064784,3.405209296,5.16045566
35.27989776,40.34792523,54.31191099,32.36553135,56.26176084,40.87280311,44.76902242,52.78074409,36.12318962
181.9119728,199.2942974,208.7991245,103.3608904,153.0319895,163.4912124,216.224853,192.3943252,175.4554924
241.4468003,215.1889346,193.1090168,236.9992134,251.3025318,176.8193004,203.8419319,241.76986,198.1614973
160.9645335,240.864887,214.8337812,138.85857,141.0294805,170.599526,181.9336869,185.5839066,139.3323028
2260.11845,2264.374471,2308.859683,2066.173759,2104.189856,2177.809574,2101.286457,2146.984461,2072.438993
8117.683975,8322.676578,7981.437053,8348.218989,7695.858727,8409.134971,7977.458782,7996.282729,8060.631741
15.43495527,15.89463721,18.10397033,14.61669158,32.25674288,18.65932316,20.95571262,15.32344183,15.48136698
19.84494249,14.67197281,24.13862711,8.352395187,21.00439072,13.32808797,20.95571262,4.25651162,9.288820188
69.45729871,84.36384367,62.76043048,60.5548651,81.01693562,50.64673429,88.58551245,84.27893008,60.89337679
15.43495527,47.68391164,9.655450842,13.57264218,22.50470434,10.66247038,33.33863372,43.41641852,23.73809604
1.102496805,1.222664401,4.827725421,0,0.750156811,3.554156792,2.857597176,0,1.032091132
100.3272092,72.13719966,84.48519487,70.99535909,90.76897416,85.29976302,82.8703181,136.2083718,59.86128565
0,1.222664401,0,5.220246992,2.250470434,4.44269599,4.76266196,2.553906972,0
416.7437923,447.4951708,485.1864048,413.4435617,522.8592974,481.5882454,506.7472325,518.4431153,468.5693739
3.307490415,14.67197281,7.241588132,12.52859278,18.75392028,23.10201915,29.52850415,22.98516275,18.57764038
112.4546741,75.80519286,71.20894996,106.4930386,91.51913097,65.75190066,80.96525331,62.14506965,49.54037433
708.9054456,564.8709533,592.6032955,614.9450956,713.3991275,647.7450754,628.6713787,681.0418592,627.5114082
0,0,0,0,0,0,0,0,0
1.102496805,4.890657604,1.206931355,0,3.000627245,1.777078396,6.667726743,8.51302324,0
0,0,0,0,0,0,0,0,0
3.307490415,8.558650807,2.413862711,0,0.750156811,0.888539198,0.952532392,0,7.224637924
2436.517939,2056.521523,2696.284648,2423.238654,2345.740349,2542.999185,2754.723677,2580.297344,2293.306495
223.8068514,244.5328802,203.971399,182.7086447,240.0501796,191.9244668,206.699529,246.0263716,219.8354111
0,3.667993203,1.206931355,3.132148195,2.250470434,0,0.952532392,0,0
6.61498083,7.335986406,3.620794066,4.176197593,0.750156811,6.219774387,0,5.107813944,5.16045566
59.53482747,47.68391164,33.79407795,69.95130969,46.5097223,34.65302873,44.76902242,77.46851148,74.3105615
0,0,0,0,0,0,0,0,0
14.33245846,9.781315208,6.034656776,10.44049398,9.001881735,14.21662717,13.33545349,20.43125578,2.064182264
3.307490415,3.667993203,1.206931355,5.220246992,3.750784056,1.777078396,4.76266196,5.107813944,2.064182264
11.02496805,3.667993203,7.241588132,2.088098797,9.752038546,5.331235188,3.810129568,16.17474416,3.096273396
0,0,0,0,0,0,0,0,0
1605.235348,1577.237077,1683.669241,1579.64674,1729.861607,1525.621803,1721.226032,1564.693672,1453.184314
403.5138306,392.4752727,432.0814252,403.0030678,464.3470662,405.1738743,395.3009427,411.1790225,401.4834503
1.102496805,8.558650807,2.413862711,1.044049398,6.00125449,11.55100958,9.525323919,11.06693021,26.83436943
0,0,0,0,0,0,0,0,0
0,0,2.413862711,0,0,0,0,0,2.064182264
1051.781952,820.4078131,996.9252995,931.2920633,1143.23898,942.7400892,921.098823,990.9159051,911.3364695
37.48489137,42.79325404,33.79407795,28.18933376,24.75517477,33.76448953,23.8133098,50.22683712,20.64182264
176.3994888,125.9344333,144.8317626,120.0656808,185.2887324,186.5932316,140.0222616,106.4127905,72.24637924
0,0,1.206931355,0,2.250470434,0,0,0,4.128364528
