num,logFC,logCPM,PValue
41,0.262807924,7.741927788,0.158630247
67,-0.177524621,8.060647985,0.112638772
72,0.146374192,8.203091492,0.338388284
76,-0.131039849,8.001230421,0.243379248
91,-0.075629517,7.155028437,0.518645647
100,-0.077574033,7.585196199,0.507388137
104,-0.035270617,7.52915825,0.80014981
108,-0.018445855,8.779812895,0.818777518
120,-0.226778203,7.086504446,0.138473679
122,0.131845167,7.353535077,0.102655777
132,0.033067033,7.364899166,0.725896518
140,0.085107583,7.416055735,0.289014353
141,-0.004181533,9.317259025,0.956541425
157,-0.113554812,7.598719978,0.278794451
230,0.126877943,9.154443087,0.297925006
233,0.039054052,8.110752424,0.614405719
267,0.123390023,7.450700956,0.213815369
274,-0.036305373,7.773691988,0.794998687
297,0.17449354,11.55708843,0.120182054
325,-0.109540624,8.005604609,0.234999924
337,-0.138816917,7.391729082,0.092906155
341,0.056405867,8.193167562,0.481548175
346,0.0315409,8.079428868,0.692641215
351,0.07101897,8.606873587,0.361205446
362,0.108724745,8.835498102,0.156132947
365,-0.01973442,7.994088751,0.828530396
366,0.143770443,7.744801823,0.070037454
369,-0.062778835,8.182484745,0.406332171
399,-0.052429083,7.842406923,0.519960518
411,-0.036155879,7.23148263,0.701144991
502,0.11426239,7.37016632,0.168396964
516,0.093293436,10.14425048,0.338022829
540,-0.130438011,7.232629445,0.365355456
589,-0.061964364,8.821789062,0.461909268
610,-0.055886897,9.310110199,0.466622547
613,-0.039880672,7.576446921,0.616678143
622,0.012187422,7.482083623,0.884335033
659,0.009062283,8.585793046,0.912883423
664,0.07534752,8.805383179,0.320234345
666,-0.104765445,8.408489747,0.141468521
688,0.027195833,7.926813343,0.750167833
703,-0.007214491,8.328770946,0.926599191
724,0.036135535,8.389988455,0.631416379
735,-0.110930312,8.931713742,0.170449682
748,-0.065389,9.713487821,0.725147659
786,0.180563671,8.851480798,0.037015956
788,-0.173153564,8.746739317,0.132757835
815,0.060321216,7.913938723,0.485216214
825,-0.010399439,8.956353498,0.897056267
858,-0.030445388,9.852138935,0.713782388
868,-0.083266977,7.841637827,0.294861473
877,-0.222942191,7.307898154,0.149240768
891,-0.020349524,7.217669642,0.830962175
903,0.026116562,8.107722402,0.763088579
918,-0.065512979,7.145948291,0.497585486
926,-0.062246663,7.891845552,0.462823927
930,0.240502214,7.174055899,0.009143121
939,-0.04196702,8.217458959,0.660444881
942,0.017286548,7.178227078,0.928887991
945,-0.60819405,8.14228523,1.03E-09
947,-0.04473443,7.588786952,0.601063769
951,0.06341446,8.116172417,0.478018264
952,0.218972959,7.61946532,0.010262564
965,0.046392097,7.957281613,0.543523937
970,-0.11326737,8.41839274,0.140158982
975,0.162408166,8.561562301,0.069577633
979,-0.028931995,8.047152925,0.77911357
1002,-0.011871546,8.720027435,0.879680489
1025,0.081063541,7.749724249,0.320284469
1035,-0.011798257,8.879379673,0.888800902
1038,0.032633296,9.361343902,0.685980466
1042,0.045640015,8.122887017,0.548202618
1044,-0.051766878,8.116920172,0.537386974
1050,0.045342179,9.081978139,0.558727538
1055,-0.048298364,8.870524133,0.530396854
1056,-0.212581839,8.739152165,0.028980296
1060,-0.023239806,7.741463203,0.818767885
1070,0.056864642,9.266081304,0.47709058
1074,-0.165678252,9.526545817,0.065717231
1075,0.007789219,7.397251993,0.931690511
1085,0.084078133,8.970678382,0.290446319
1127,-0.239688091,9.672200288,0.003531814
